"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"00700.HK","20251003","677.0","680.0","670.0","673.5","676.5","-3.0","-0.44","7125093.0","4802401785.98"
"00700.HK","20251006","675.0","682.5","670.0","677.5","673.5","4.0","0.59","7828323.0","5290177514.122"
"00700.HK","20251008","680.0","680.0","669.5","675.0","677.5","-2.5","-0.37","10540730.0","7110636784.33"
"00700.HK","20251009","675.0","681.0","665.5","675.5","675.0","0.5","0.07","14454705.0","9752967437.764"
"00700.HK","20251010","669.0","669.0","647.5","651.5","675.5","-24.0","-3.55","19904705.0","13051085790.28"
"00700.HK","20251013","630.0","648.5","622.5","639.0","651.5","-12.5","-1.92","38012175.0","24133784941.4"
"00700.HK","20251014","642.5","644.0","617.0","621.0","639.0","-18.0","-2.82","26797863.0","16792282108.7"
"00700.HK","20251015","624.5","633.0","620.5","627.0","621.0","6.0","0.97","18381023.0","11538283646.62"
"00700.HK","20251016","626.0","629.0","615.5","620.0","627.0","-7.0","-1.12","14285465.0","8878516698.83"
"00700.HK","20251017","618.5","620.5","602.5","608.0","620.0","-12.0","-1.94","18654519.0","11370789563.54"
"00700.HK","20251020","624.0","632.5","621.5","627.5","608.0","19.5","3.21","14963360.0","9379379881.47"
"00700.HK","20251021","643.0","644.0","630.0","630.5","627.5","3.0","0.48","14171988.0","9028696332.9"
"00700.HK","20251022","626.0","629.0","616.5","623.5","630.5","-7.0","-1.11","9979448.0","6212763895.61"
"00700.HK","20251023","620.0","636.0","618.0","633.0","623.5","9.5","1.52","12419348.0","7782734766.12"
"00700.HK","20251024","639.0","641.5","633.5","637.5","633.0","4.5","0.71","11997034.0","7648872118.94"
"00700.HK","20251027","649.0","656.0","646.0","656.0","637.5","18.5","2.9","16043970.0","10461683006.588"
"00700.HK","20251028","656.0","656.0","641.0","645.0","656.0","-11.0","-1.68","16295470.0","10562802667.61"
"00700.HK","20251030","657.0","664.0","645.0","651.0","645.0","6.0","0.93","21772780.0","14256261211.65"
"00700.HK","20251031","651.5","655.0","629.0","629.0","651.0","-22.0","-3.38","20578283.0","13087941470.675"
"00700.HK","20251103","630.5","634.0","622.5","628.0","629.0","-1.0","-0.16","11591004.0","7277219053.155"
"00700.HK","20251104","631.0","640.0","625.5","629.0","628.0","1.0","0.16","14972125.0","9460748363.78"
"00700.HK","20251105","621.0","632.0","613.0","629.0","629.0","0.0","0.0","13309811.0","8309972605.012"
"00700.HK","20251106","629.5","645.5","629.5","644.0","629.0","15.0","2.38","13081287.0","8382246994.425"
"00700.HK","20251107","638.0","643.0","628.5","634.0","644.0","-10.0","-1.55","13314360.0","8434344187.18"
"00700.HK","20251110","641.0","651.0","641.0","649.5","634.0","15.5","2.44","14513815.0","9386838459.5"
"00700.HK","20251111","662.0","662.0","641.0","650.0","649.5","0.5","0.08","13087772.0","8483781693.27"
"00700.HK","20251112","655.0","658.5","652.0","657.0","650.0","7.0","1.08","13658568.0","8960743999.135"
"00700.HK","20251113","649.5","660.0","645.0","656.0","657.0","-1.0","-0.15","17299913.0","11283368344.8"
"00700.HK","20251114","645.0","659.0","640.0","641.0","656.0","-15.0","-2.29","19956444.0","12900520613.21"
"00700.HK","20251117","640.0","642.5","633.0","636.5","641.0","-4.5","-0.7","13794477.0","8785917134.7"
"00700.HK","20251118","628.0","641.0","620.5","623.5","636.5","-13.0","-2.04","18818609.0","11791388064.195"
"00700.HK","20251119","627.5","631.5","619.5","622.5","623.5","-1.0","-0.16","13959708.0","8712756872.27"
"00700.HK","20251120","626.5","630.5","615.5","621.0","622.5","-1.5","-0.24","14015988.0","8688329736.19"
"00700.HK","20251121","610.0","615.0","606.0","610.0","621.0","-11.0","-1.77","23732050.0","14481878345.01"
"00700.HK","20251124","615.0","627.5","613.5","624.5","610.0","14.5","2.38","22376801.0","13930485181.47"
"00700.HK","20251125","633.0","635.0","620.5","625.0","624.5","0.5","0.08","14877620.0","9326512821.01"
"00700.HK","20251126","628.5","630.0","618.0","619.5","625.0","-5.5","-0.88","14429595.0","8976231354.29"
"00700.HK","20251127","618.0","620.5","609.0","611.5","619.5","-8.0","-1.29","15493209.0","9503092331.8"
